,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
78,Zhangjiakou,CN,40.81,114.88,61.11,76,100,2.91
79,Ahipara,NZ,-35.17,173.17,58.51,92,73,9.86
80,Albany,US,42.6,-73.97,77.45,44,17,10.29
81,Brae,GB,60.4,-1.35,57.2,100,99,3.36
82,Parkes,AU,-33.13,148.18,50.0,71,70,5.01
83,Fortuna,US,40.6,-124.16,72.93,61,100,1.99
84,Lebu,CL,-37.62,-73.65,49.75,68,67,10.29
85,Cidreira,BR,-30.18,-50.21,62.71,95,100,12.41
86,Olenino,RU,56.21,33.49,52.59,88,47,1.43
87,Saint Paul Harbor,US,57.79,-152.41,60.8,63,1,6.93
88,Severo-Kuril'sk,RU,50.68,156.12,50.45,90,92,13.53
89,Arrondissement de Mende,FR,44.67,3.5,69.8,56,0,3.36
90,Arraial do Cabo,BR,-22.97,-42.03,75.97,83,100,12.75
91,Comodoro Rivadavia,AR,-45.87,-67.5,44.6,33,40,20.8
92,Puerto Carreño,CO,6.19,-67.49,84.2,66,40,2.24
93,Kidal,ML,18.44,1.41,99.77,14,6,13.8
94,Jamestown,US,42.1,-79.24,71.47,49,1,13.87
95,Ayagoz,KZ,47.97,80.44,60.21,69,2,12.12
96,Carnarvon,AU,-24.87,113.63,59.0,77,54,11.41
97,Geraldton,AU,-28.77,114.6,46.4,93,92,8.05
98,Sakakah,SA,29.97,40.21,80.6,13,0,3.36
99,Labuhan,ID,-6.88,112.21,75.97,80,63,8.08
100,Qaanaaq,GL,77.48,-69.36,45.18,79,100,12.5
101,Yokadouma,CM,3.52,15.05,72.21,94,97,1.88
102,São Filipe,CV,14.9,-24.5,79.27,85,41,3.98
103,Vaitape,PF,-16.52,-151.75,79.14,75,0,18.14
104,Lüderitz,NA,-26.65,15.16,57.56,45,0,24.81
105,Aitape,PG,-3.14,142.35,75.2,83,22,5.21
106,Mount Gambier,AU,-37.83,140.77,46.4,93,90,3.69
107,Barrow,US,71.29,-156.79,46.4,100,90,17.22
108,Frunze,UA,48.67,38.75,71.31,52,11,1.79
109,Mitsamiouli,KM,-11.38,43.28,76.39,77,20,7.83
110,Pisco,PE,-13.7,-76.22,67.14,68,62,19.46
111,Poggibonsi,IT,43.47,11.15,69.42,83,1,1.01
112,Inongo,CD,-1.95,18.27,75.42,67,16,4.99
113,Shimoda,JP,34.67,138.95,73.99,94,57,8.77
114,Saint-Philippe,RE,-21.36,55.77,62.67,77,44,5.82
115,Cabo Rojo,PR,18.09,-67.15,90.12,57,26,8.01
116,Salalah,OM,17.02,54.09,77.0,100,90,3.36
117,Padang,ID,-0.95,100.35,77.92,74,82,3.11
118,Klaksvík,FO,62.23,-6.59,51.8,81,100,6.93
119,Palmer,US,42.16,-72.33,81.72,34,40,13.87
120,Broome,US,42.25,-75.83,75.11,36,75,12.75
121,Gōtsuchō,JP,35.0,132.22,75.74,82,100,3.13
122,Houma,US,29.6,-90.72,90.64,62,75,5.82
123,Jalu,LY,29.03,21.55,86.63,32,0,11.77
124,Rawson,AR,-43.3,-65.1,42.35,62,99,30.78
125,Cherskiy,RU,68.75,161.3,44.53,80,98,9.55
126,Port Macquarie,AU,-31.43,152.92,43.52,100,0,4.7
127,Plettenberg Bay,ZA,-34.05,23.37,51.85,74,95,19.6
128,Rio Grande,BR,-32.03,-52.1,62.29,88,100,11.41
129,Yeppoon,AU,-23.13,150.73,55.4,87,0,9.71
130,Ancud,CL,-41.87,-73.82,42.87,86,90,5.82
131,Zapolyarnyy,RU,69.42,30.81,51.8,81,75,17.22
132,Kwang Binh,VN,17.48,106.6,79.65,82,98,3.76
133,Vaini,TO,-21.2,-175.2,73.4,100,90,29.55
134,Funehikimachi-funehiki,JP,37.43,140.58,71.91,98,31,1.92
135,Longyearbyen,SJ,78.22,15.64,42.8,81,75,11.41
136,Lorengau,PG,-2.02,147.27,81.57,77,64,7.45
137,Venice,US,27.1,-82.45,87.01,62,40,10.29
138,New Norfolk,AU,-42.78,147.06,40.32,85,11,2.33
139,Busselton,AU,-33.65,115.33,40.78,77,31,6.33
140,Henties Bay,NA,-22.12,14.28,54.0,78,0,7.45
141,Beringovskiy,RU,63.05,179.32,51.64,58,28,11.07
142,Makakilo City,US,21.35,-158.09,82.56,54,40,11.41
143,Viranşehir,TR,37.24,39.76,78.28,25,0,9.17
144,Sioux Lookout,CA,50.1,-91.92,62.6,77,75,4.7
145,Hanzhong,CN,33.07,107.03,65.05,86,100,0.6
146,Naryan-Mar,RU,67.67,53.09,49.17,91,100,13.6
147,Kahului,US,20.89,-156.47,81.86,52,40,19.46
148,Laguna,US,38.42,-121.42,101.57,25,1,5.82
149,Standerton,ZA,-26.93,29.24,39.0,47,0,8.99
150,Angoche,MZ,-16.23,39.91,72.64,84,0,8.7
151,Bengkulu,ID,-3.8,102.27,75.92,84,22,4.54
152,Faanui,PF,-16.48,-151.75,78.3,77,0,18.14
153,Vangaindrano,MG,-23.35,47.6,65.35,88,7,5.99
154,Iqaluit,CA,63.75,-68.51,42.39,87,75,13.87
155,Sitka,US,57.05,-135.33,59.0,82,75,4.7
156,Castro,BR,-24.79,-50.01,60.46,94,100,11.16
157,Port Elizabeth,ZA,-33.92,25.57,50.0,93,55,21.92
158,Cayenne,GF,4.93,-52.33,86.0,66,0,6.93
159,Rosarito,MX,32.33,-117.03,86.02,52,5,8.05
160,Ponta do Sol,PT,32.67,-17.1,69.06,72,0,2.08
161,Nome,US,64.5,-165.41,62.53,63,1,9.17
162,Novoagansk,RU,61.94,76.66,59.23,93,100,7.72
163,Saint-Pierre,RE,-21.34,55.48,63.37,77,31,5.82
164,Turaif,SA,31.67,38.66,80.6,44,0,11.41
165,Bredasdorp,ZA,-34.53,20.04,50.0,76,100,5.82
166,Soyo,AO,-6.13,12.37,71.91,84,60,10.25
167,Kayerkan,RU,69.35,87.76,57.2,58,16,8.95
168,Panzhihua,CN,26.59,101.71,64.53,84,100,2.64
169,Boyolangu,ID,-8.12,111.89,72.27,88,74,2.33
170,Leer,SS,8.3,30.14,71.96,96,90,5.73
171,George Town,MY,5.41,100.34,78.51,94,20,4.76
172,Réo,BF,12.32,-2.47,79.59,77,52,5.75
173,Mahibadhoo,MV,3.78,72.97,82.33,68,100,3.2
174,Meadow Lake,US,34.8,-106.54,85.77,18,20,3.36
175,São Félix do Xingu,BR,-6.64,-51.99,98.92,22,6,2.77
176,Chui,UY,-33.7,-53.46,60.96,75,0,3.53
177,Parāsia,IN,22.2,78.77,71.67,96,100,8.75
178,Lagoa,PT,39.05,-27.98,74.75,90,11,30.2
179,Ustka,PL,54.58,16.86,64.2,64,11,9.48
180,San Policarpo,PH,12.18,125.51,77.74,87,94,7.81
181,Katsuura,JP,35.13,140.3,78.19,88,75,8.05
182,Pacasmayo,PE,-7.4,-79.57,66.24,68,52,16.96
183,Tateyama,JP,34.98,139.87,78.28,91,75,7.47
184,Yelizovo,RU,53.19,158.38,51.8,100,90,2.24
185,Sangar,RU,63.92,127.47,45.95,67,48,5.39
186,Omboué,GA,-1.57,9.26,75.45,86,86,11.54
187,Sistranda,NO,63.73,8.83,56.23,100,4,3.36
188,Caravelas,BR,-17.71,-39.25,75.09,77,0,8.93
189,Juegang,CN,32.32,121.19,77.56,91,0,9.06
190,Korla,CN,41.76,86.15,80.01,45,3,13.56
191,Chokurdakh,RU,70.63,147.92,36.59,83,74,7.72
192,Vila Franca do Campo,PT,37.72,-25.43,75.2,88,75,18.34
193,Eydhafushi,MV,5.1,73.07,82.49,67,0,2.53
194,Avarua,CK,-21.21,-159.78,73.4,73,75,17.22
195,Jackson,US,42.42,-122.83,93.42,29,1,4.79
196,Saint George,US,37.1,-113.58,106.16,13,1,3.36
197,Fairbanks,US,64.84,-147.72,67.14,42,1,3.22
198,Kushima,JP,31.46,131.23,79.25,73,99,3.22
199,Trincomalee,LK,8.57,81.23,80.17,77,100,14.99
200,Tasiilaq,GL,65.61,-37.64,48.2,76,20,2.24
201,Bathsheba,BB,13.22,-59.52,86.0,74,75,12.75
202,Talara,PE,-4.58,-81.27,71.6,64,100,20.8
203,Mgachi,RU,51.05,142.27,61.02,96,100,9.98
204,Pochutla,MX,15.74,-96.47,91.69,55,40,6.67
205,Antón,PA,8.4,-80.27,89.6,66,40,12.75
206,Pevek,RU,69.7,170.31,39.54,87,98,10.87
207,Fraserburgh,GB,57.69,-2.02,59.58,86,2,5.01
208,Clyde River,CA,70.47,-68.59,60.8,59,75,5.82
209,Bayshore Gardens,US,27.43,-82.59,84.99,78,40,8.99
210,Grindavik,IS,63.84,-22.43,51.8,100,75,14.99
211,San Miguel de Tucumán,AR,-26.82,-65.22,80.6,22,0,13.87
212,Fukuechō,JP,32.69,128.84,82.92,77,0,11.1
213,Port Alfred,ZA,-33.59,26.89,54.9,69,100,33.06
214,Sunland Park,US,31.8,-106.58,91.69,17,1,6.35
215,Heihe,CN,50.24,127.49,44.6,93,0,4.47
216,Anzio,IT,41.49,12.62,77.68,88,40,4.7
217,Maragogi,BR,-9.01,-35.22,74.89,83,62,12.64
218,Caldas da Rainha,PT,39.4,-9.14,68.83,89,0,5.99
219,Kabo,CF,7.7,18.63,74.46,93,100,1.92
220,Ayan,RU,56.45,138.17,52.05,86,100,9.6
221,Benjamin Constant,BR,-4.38,-70.03,91.33,55,40,4.7
222,Yola,NG,9.2,12.48,77.65,87,100,5.5
223,Guerrero Negro,MX,27.98,-114.06,92.75,35,0,7.76
224,Tazovsky,RU,67.47,78.7,52.2,82,30,9.51
225,Bethel,US,41.37,-73.41,80.71,42,20,8.05
226,João Pinheiro,BR,-17.74,-46.17,87.26,30,0,5.37
227,Jalpan,MX,21.23,-99.48,81.46,60,98,6.17
228,Hlohovec,SK,48.43,17.8,66.09,88,40,4.7
229,Kamień Pomorski,PL,53.97,14.77,67.06,72,100,2.24
230,Souillac,MU,-20.52,57.52,71.6,73,20,10.29
231,Kavaratti,IN,10.57,72.64,81.7,80,100,10.67
232,Juneau,US,58.3,-134.42,56.17,82,90,4.7
233,Ternate,ID,0.8,127.4,79.45,80,100,9.71
234,Fort Morgan,US,40.25,-103.8,98.6,12,1,11.41
235,Jiuquan,CN,39.74,98.52,63.39,28,0,2.06
236,Santa Rosalía,MX,27.32,-112.28,87.51,65,0,10.49
237,Kimbe,PG,-5.55,150.14,72.73,83,7,6.06
238,Mingora,PK,34.78,72.36,77.54,69,79,3.8
239,Jutaí,BR,-5.18,-68.9,92.03,48,70,2.66
240,Shawinigan,CA,46.57,-72.75,59.0,93,90,8.05
241,Ridgecrest,US,35.62,-117.67,108.39,9,75,4.7
242,Nosy Varika,MG,-20.58,48.53,66.0,89,23,4.45
243,Shaoguan,CN,24.8,113.58,75.02,91,96,2.17
244,Lodwar,KE,3.12,35.6,84.29,43,98,5.82
245,Sibu,MY,2.3,111.82,75.07,94,40,4.7
246,Flinders,AU,-34.58,150.86,49.95,81,0,1.01
247,Waipawa,NZ,-41.41,175.52,52.39,81,100,6.93
248,Halifax,CA,44.65,-63.57,75.47,49,4,1.99
249,Hokitika,NZ,-42.72,170.97,50.5,89,100,10.27
250,Xinqing,CN,48.23,129.5,50.34,84,100,2.28
251,Aketi,CD,2.74,23.78,76.39,81,100,0.6
252,Rundu,NA,-17.93,19.77,59.11,29,0,9.91
253,Alekseyevsk,RU,57.84,108.35,47.71,62,15,2.13
254,Ipil,PH,7.75,122.52,74.07,88,100,4.21
255,Três Lagoas,BR,-20.75,-51.68,93.72,26,0,8.81
256,Kushmurun,KZ,52.45,64.63,54.09,82,29,6.51
257,Kushiro,JP,42.98,144.37,63.99,95,91,8.14
258,Arrondissement de Calais,FR,50.92,1.83,65.01,71,0,1.99
259,Rabaul,PG,-4.2,152.17,78.13,80,3,13.65
260,Cap Malheureux,MU,-19.98,57.61,72.0,71,0,7.0
261,Arlit,NE,18.74,7.39,95.97,26,46,2.59
262,Alofi,NU,-19.06,-169.92,76.03,82,61,24.32
263,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,61.83,93,100,10.4
264,Biak,ID,-0.91,122.88,73.56,75,100,6.67
265,Waingapu,ID,-9.66,120.26,71.51,81,48,5.21
266,Tessalit,ML,20.2,1.01,99.43,11,0,8.79
267,Donzdorf,DE,48.69,9.81,63.88,74,100,2.59
268,Rio Casca,BR,-20.23,-42.65,79.39,54,3,11.27
269,Mount Isa,AU,-20.73,139.5,53.6,50,0,10.13
270,Provideniya,RU,64.38,-173.3,52.63,70,100,7.49
271,Santa Rosa,PH,14.31,121.11,78.6,94,100,2.24
272,Kruisfontein,ZA,-34.0,24.73,48.92,77,67,19.77
273,Westport,US,41.14,-73.36,82.42,51,40,13.87
274,Rome,US,43.21,-75.46,74.16,56,75,13.87
275,Quang Ngai,VN,15.12,108.8,77.27,84,62,2.93
276,Oktyabr'skoye,RU,43.06,44.74,62.6,67,0,8.95
277,Mangochi,MW,-14.48,35.26,71.42,59,6,3.58
278,Makrāna,IN,27.05,74.72,81.46,81,96,13.24
279,Guadalupe y Calvo,MX,26.1,-106.97,73.42,41,100,7.65
280,Nāgod,IN,24.57,80.6,78.62,89,88,8.1
281,Néa Pélla,GR,40.77,22.49,72.0,93,0,1.01
282,Wankyi,GH,7.74,-2.1,72.54,94,98,4.5
283,Gēdo,ET,9.02,37.45,53.29,100,100,4.12
284,Kabalo,CD,-6.05,26.92,81.0,34,22,3.53
285,Griffith,US,41.53,-87.42,74.52,49,75,10.29
286,Acarí,PE,-15.43,-74.62,67.87,50,59,11.12
287,Tabou,CI,4.42,-7.35,75.97,83,100,9.31
288,Zhigansk,RU,66.77,123.37,46.81,94,11,13.58
289,Torbay,CA,47.67,-52.73,59.49,82,90,20.8
290,Aasiaat,GL,68.71,-52.87,48.33,56,99,10.36
291,Beyneu,KZ,45.32,55.2,71.42,52,0,10.38
292,Yaan,NG,7.38,8.57,76.68,90,100,2.55
293,Chapais,CA,49.78,-74.85,59.0,72,90,10.29
294,Haines Junction,CA,60.75,-137.51,59.27,56,69,1.01
295,Amahai,ID,-3.33,128.92,75.34,83,58,2.62
296,Auki,SB,-8.77,160.7,77.23,84,86,3.51
297,Chiang Klang,TH,19.29,100.86,72.64,89,100,0.94
298,Cairns,AU,-16.92,145.77,58.48,100,86,4.21
299,Mehamn,NO,71.04,27.85,50.95,76,75,8.05
300,Saint-Augustin,CA,51.23,-58.65,65.86,65,98,19.04
301,Kaka,TM,37.35,59.61,73.98,28,0,6.17
302,Talnakh,RU,69.49,88.4,57.2,58,1,8.95
303,Coyhaique,CL,-45.58,-72.07,42.8,38,40,5.82
304,Kargil,IN,34.57,76.1,61.21,48,0,8.34
305,Rongcheng,CN,30.63,117.85,79.25,79,0,2.84
306,Bambous Virieux,MU,-20.34,57.76,71.78,73,20,10.29
307,Amursk,RU,50.23,136.9,53.53,92,100,7.09
308,Yulara,AU,-25.24,130.99,42.8,48,0,8.05
309,Ust-Nera,RU,64.57,143.2,45.79,73,1,1.63
310,Serenje,ZM,-13.23,30.24,62.2,43,0,4.94
311,Sotik,KE,-0.68,35.12,58.75,90,90,1.32
312,Solnechnyy,RU,50.72,136.63,49.64,93,14,4.27
313,Kiunga,PG,-6.12,141.29,68.4,98,55,2.35
314,Praia,CV,14.92,-23.51,82.4,78,75,6.93
315,Sladkovo,RU,55.53,70.34,53.15,92,89,8.41
316,Tuatapere,NZ,-46.13,167.68,45.9,84,100,6.22
317,Waverly,US,42.74,-84.62,73.45,38,75,8.05
318,Upernavik,GL,72.79,-56.15,49.14,57,100,6.87
319,Saint-Joseph,RE,-21.37,55.62,62.74,77,32,5.82
320,Desaguadero,PE,-16.57,-69.04,59.09,32,23,12.55
321,Bereket,TM,39.24,55.52,79.63,25,1,6.71
322,Praia da Vitória,PT,38.73,-27.07,77.0,88,75,22.5
323,Caconda,AO,-13.73,15.07,60.48,29,10,5.26
324,Businga,CD,3.33,20.88,74.17,88,98,1.43
325,Matagami,CA,49.75,-77.63,57.2,82,98,9.8
326,Hamilton,US,39.18,-84.53,65.91,93,90,8.05
327,Bontang,ID,0.13,117.5,76.95,88,94,7.85
328,Longkou,CN,37.65,120.33,78.89,91,4,12.26
329,Vila Velha,BR,-20.33,-40.29,78.06,73,40,11.41
330,Bellmead,US,31.59,-97.11,96.91,26,5,9.17
331,Antofagasta,CL,-23.65,-70.4,59.0,62,40,13.87
332,Sidrolândia,BR,-20.93,-54.96,84.2,51,40,10.29
333,Celestún,MX,20.87,-90.4,86.88,61,2,10.94
334,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,51.8,100,90,2.24
335,Coffeyville,US,37.04,-95.62,86.77,38,1,9.17
336,Fernie,CA,49.5,-115.07,87.69,28,20,13.87
337,Meulaboh,ID,4.14,96.13,78.12,83,100,3.53
338,Sur,OM,22.57,59.53,84.72,67,100,15.5
339,Champasak,LA,14.75,106.0,73.58,98,92,1.77
340,Liaozhong,CN,41.51,122.72,71.6,100,90,2.24
341,São João da Barra,BR,-21.64,-41.05,77.0,73,2,20.8
342,Malanje,AO,-9.54,16.34,70.34,50,0,6.51
343,Andenes,NO,69.31,16.12,50.0,93,75,9.17
344,Phaltan,IN,17.98,74.43,74.39,85,100,5.12
345,Christchurch,NZ,-43.53,172.63,50.4,81,100,13.87
346,Kudahuvadhoo,MV,2.67,72.89,82.83,67,45,5.32
347,‘Āhuimanu,US,21.44,-157.84,81.63,61,75,14.99
348,Beloha,MG,-25.17,45.05,69.84,60,8,8.23
349,Hervey Bay,AU,-25.3,152.85,66.18,82,0,16.11
350,Orchard Homes,US,46.86,-114.05,86.77,29,1,4.7
351,Gonbad-e Kāvūs,IR,37.25,55.17,75.2,78,0,3.36
352,Hasaki,JP,35.73,140.83,75.42,94,75,5.82
353,Byron Bay,AU,-28.65,153.62,59.16,87,40,8.79
354,Tommot,RU,58.96,126.29,44.74,86,98,4.16
355,Nsanje,MW,-16.92,35.26,77.77,48,25,2.98
356,Iisalmi,FI,63.56,27.19,55.4,82,1,3.36
357,George,ZA,-33.96,22.46,46.4,81,87,14.99
358,Buala,SB,-8.14,159.59,80.13,77,100,4.34
359,Carahue,CL,-38.7,-73.17,48.2,70,40,5.82
360,Lázaro Cárdenas,MX,17.96,-102.2,82.9,72,100,5.32
361,Pareora,NZ,-44.49,171.21,43.0,93,100,3.0
362,Vilhena,BR,-12.74,-60.15,95.0,24,7,11.41
363,Lompoc,US,34.64,-120.46,82.54,54,1,11.41
364,Mae Sai,TH,20.43,99.88,71.31,100,90,2.24
365,Point Fortin,TT,10.18,-61.68,86.0,75,100,12.93
366,Vestmanna,FO,62.16,-7.17,51.8,81,32,6.93
367,Richards Bay,ZA,-28.78,32.04,62.92,47,99,5.03
368,Srednekolymsk,RU,67.45,153.68,47.64,61,100,1.28
369,Kansanshi,ZM,-12.1,26.43,63.21,30,99,3.15
370,Goderich,CA,43.75,-81.72,68.5,78,0,14.0
371,Peniche,PT,39.36,-9.38,69.35,92,0,5.99
372,Palu,ID,-0.89,119.87,73.53,73,0,3.2
373,Tomatlán,MX,19.93,-105.25,84.2,64,100,5.99
374,Bubaque,GW,11.28,-15.83,80.83,85,100,17.6
375,Vao,NC,-22.67,167.48,68.43,64,59,11.48
376,Avera,US,33.19,-82.53,82.96,41,90,10.29
377,Vanimo,PG,-2.67,141.3,76.48,84,9,4.79
378,Mahébourg,MU,-20.41,57.7,71.6,73,20,10.29
379,Kununurra,AU,-15.77,128.73,68.0,89,0,1.57
380,Shangzhi,CN,45.22,127.97,64.9,97,100,0.54
381,Zaraza,VE,9.35,-65.32,76.03,93,100,4.85
382,Fort Nelson,CA,58.81,-122.7,60.8,82,90,4.7
383,Kabare,CD,-2.47,28.82,65.37,59,50,1.32
384,Slavuta,UA,50.3,26.87,66.94,77,54,3.44
385,Shirokiy,RU,49.76,129.52,46.94,77,45,9.91
386,Berlevåg,NO,70.86,29.09,51.13,76,75,8.05
387,Randolph,US,35.7,-79.82,82.87,42,1,0.63
388,Nouakchott,MR,18.09,-15.98,82.4,78,40,17.22
389,Mt. Pleasant,US,32.79,-79.86,82.92,88,75,11.12
390,Manado,ID,1.49,124.85,71.6,88,20,1.12
391,Motala,SE,58.54,15.04,66.79,88,30,3.49
392,Inírida,CO,3.87,-67.92,83.52,73,81,2.44
393,Newport,GB,51.59,-3.0,65.21,87,6,4.36
394,Kearney,US,40.7,-99.08,84.94,39,1,17.22
395,Xining,CN,36.62,101.77,49.66,72,0,3.04
396,Ishinomaki,JP,38.42,141.3,69.96,86,62,0.76
397,Narón,ES,43.52,-8.15,70.47,73,20,12.75
398,Tilichiki,RU,60.47,166.1,50.13,51,100,3.18
399,Bukama,CD,-9.2,25.85,74.12,23,5,1.41
400,Lastoursville,GA,-0.81,12.73,79.07,72,98,2.17
401,Laas,IT,46.62,10.7,55.4,93,75,4.7
402,Husavik,IS,66.04,-17.34,50.0,87,90,16.11
403,Kalāleh,IR,37.38,55.49,75.2,83,0,6.93
404,Koné,NC,-21.06,164.87,61.5,75,16,1.52
405,Aquiraz,BR,-3.9,-38.39,82.4,69,1,18.34
406,Maksatikha,RU,57.8,35.88,50.27,78,0,1.14
407,Arrondissement de Gap,FR,44.67,6.0,66.99,57,0,5.37
408,Kaeo,NZ,-35.1,173.78,60.03,92,96,11.41
409,Kalemie,CD,-5.95,29.19,73.04,43,0,1.88
410,Tandil,AR,-37.32,-59.13,54.5,40,100,13.0
411,Pimentel,PE,-6.84,-79.93,69.8,60,100,25.28
412,Tambacounda,SN,13.75,-13.76,87.8,66,20,9.17
413,Requena,ES,39.49,-1.1,72.97,74,100,6.26
414,Baharly,TM,38.44,57.43,81.12,21,0,4.0
415,Bereda,ES,43.27,-7.54,68.32,77,100,11.01
416,Gizo Government Station,SB,-8.1,156.84,80.2,83,52,12.3
417,Mezen',RU,65.85,44.24,42.78,91,16,6.62
418,Raudeberg,NO,61.99,5.14,64.99,84,0,3.8
419,Kumul,CN,42.8,93.45,78.6,17,0,3.78
420,Khatanga,RU,71.97,102.5,49.3,70,81,13.2
421,Lavrentiya,RU,65.58,-171.0,50.99,73,100,5.14
422,Liku,ID,-0.73,119.89,73.29,75,0,3.42
423,Ørnes,NO,66.87,13.71,51.04,81,75,3.36
424,Nanticoke,US,41.21,-76.0,80.58,49,68,1.01
425,Aklavik,CA,68.22,-135.01,60.8,59,20,12.75
426,Sainte-Suzanne,RE,-20.91,55.61,63.09,77,75,12.75
427,Russell,US,32.35,-85.2,92.73,41,1,6.93
428,Antsohihy,MG,-14.88,47.99,72.12,59,1,10.09
429,Rybachiy,RU,48.71,44.74,68.0,56,100,8.95
